,해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
294,298,1.2,113,9.4,4.1,141
295,299,1.2,113,9.3,4.2,138
296,302,0.0,190,6.0,3.4,235
297,303,0.0,191,4.5,4.0,250
298,304,0.0,142,5.1,3.5,248
299,305,0.1,72,5.4,2.5,226
300,306,0.1,134,6.9,1.9,224
301,307,0.1,80,6.5,2.3,246
302,308,0.1,55,6.2,2.2,246
303,309,0.2,44,6.1,2.0,248
304,310,0.1,82,6.9,0.8,196
305,311,0.2,55,6.6,0.3,229
306,312,0.3,43,6.4,0.1,284
307,313,0.4,17,6.3,0.6,316
308,314,0.2,91,6.7,1.3,134
309,315,0.3,52,6.7,1.2,112
310,316,0.4,40,6.6,1.3,86
311,317,0.4,30,6.5,1.6,67
312,318,0.4,95,6.5,2.4,108
313,319,0.4,67,6.4,2.0,94
314,320,0.4,52,6.4,2.2,72
315,321,0.4,39,6.6,2.6,52
316,322,0.5,110,6.8,2.7,84
317,323,0.5,97,6.6,2.8,68
318,324,0.5,71,6.7,3.0,51
319,325,0.5,44,7.1,3.3,44
320,326,0.6,131,7.0,3.1,73
321,327,0.6,127,7.0,3.5,69
322,328,0.6,96,7.2,3.6,74
323,329,0.6,54,7.4,3.6,63
324,330,0.7,143,6.9,3.8,67
325,331,0.7,141,7.2,3.9,70
326,332,0.7,116,7.4,4.3,65
327,333,0.7,78,7.4,4.3,56
328,334,0.7,136,7.3,4.7,60
329,335,0.7,129,7.6,4.6,58
330,336,0.8,106,7.6,4.8,56
331,337,0.8,83,7.4,5.0,51
332,338,0.8,121,6.3,4.6,51
333,339,0.8,109,7.2,4.9,50
334,340,0.9,94,7.7,5.4,48
335,341,0.9,76,7.6,6.1,45
336,342,0.9,100,6.1,4.9,40
337,343,0.9,90,6.2,5.3,44
338,344,1.0,74,6.5,6.1,42
339,345,1.0,62,6.1,6.5,37
340,346,1.0,75,5.9,5.5,43
341,347,1.1,66,6.0,6.2,41
342,348,1.1,58,5.9,6.9,43
343,349,1.2,50,5.3,7.0,45
344,350,1.2,58,5.9,5.7,47
345,351,1.2,53,6.0,6.8,47
346,352,1.3,47,5.9,7.3,47
347,353,1.3,43,5.7,7.2,47
348,354,1.3,45,6.1,6.4,47
349,355,1.2,32,6.0,6.7,50
